"BroodID"	"BreedingSeason"	"FemaleID"	"Plot"	"LocationID"	"LayDate_observed"	"BroodSize_observed"	"Mass"	"breeding_age"	"spring_temperature"	"spring_precipitation"	"population_density"	"n_recruits"	"Half_fall_date"	"mast.score"	"synchrony"
"19611B180"	1961	"BA01487"	"B"	"B180"	22	6	NA	NA	10.0114285714286	103.9	227	0	49.4	0	27.4
"19611B208"	1961	"BA01815"	"B"	"B208"	21	8	NA	NA	10.0114285714286	103.9	227	0	49.4	0	28.4
"19611B86"	1961	"BA01832"	"B"	"B86"	20	9	NA	NA	10.0114285714286	103.9	227	0	49.4	0	29.4
"19611O30A"	1961	"BA01063"	"O"	"O30A"	19	4	NA	NA	10.0114285714286	103.9	227	1	49.4	0	30.4
"19611W2"	1961	"BA01781"	"W"	"W2"	35	8	NA	NA	10.0114285714286	103.9	227	0	49.4	0	14.4
"19611W83"	1961	"607532"	"W"	"W83"	15	9	NA	NA	10.0114285714286	103.9	227	0	49.4	0	34.4
"19621B222"	1962	"BA11389"	"B"	"B222"	37	9	NA	0	6.57285714285714	89.3	160	0	74.4	2	37.4
"19621CP33"	1962	"BA11635"	"CP"	"CP33"	27	10	NA	NA	6.57285714285714	89.3	160	0	74.4	2	47.4
"19621EX3"	1962	"BA01641"	"EX"	"EX3"	27	8	NA	NA	6.57285714285714	89.3	160	0	74.4	2	47.4
"19621EX41B"	1962	"607069"	"EX"	"EX41B"	25	7	NA	NA	6.57285714285714	89.3	160	0	74.4	2	49.4
"19621EX42"	1962	"608108"	"EX"	"EX42"	27	9	NA	NA	6.57285714285714	89.3	160	0	74.4	2	47.4
"19621EX64"	1962	"BA12036"	"EX"	"EX64"	37	6	NA	NA	6.57285714285714	89.3	160	0	74.4	2	37.4
"19621O14"	1962	"BA11186"	"O"	"O14"	38	8	NA	NA	6.57285714285714	89.3	160	0	74.4	2	36.4
"19631B163"	1963	"BA11027"	"B"	"B163"	25	9	NA	NA	8.21428571428571	94	147	1	68.4	0	43.4
"19631B214"	1963	"603704"	"B"	"B214"	24	10	NA	NA	8.21428571428571	94	147	1	68.4	0	44.4
"19631B215"	1963	"BA26209"	"B"	"B215"	37	8	NA	NA	8.21428571428571	94	147	0	68.4	0	31.4
"19631B30"	1963	"BA01581"	"B"	"B30"	26	9	NA	NA	8.21428571428571	94	147	1	68.4	0	42.4
"19631C102"	1963	"BA11209"	"C"	"C102"	29	8	NA	NA	8.21428571428571	94	147	1	68.4	0	39.4
"19631EX43B"	1963	"BA26423"	"EX"	"EX43B"	24	8	NA	NA	8.21428571428571	94	147	0	68.4	0	44.4
"19631EX54"	1963	"BA26085"	"EX"	"EX54"	26	8	NA	NA	8.21428571428571	94	147	3	68.4	0	42.4
"19631EX56"	1963	"BA11037"	"EX"	"EX56"	29	7	NA	NA	8.21428571428571	94	147	1	68.4	0	39.4
"19631EX61"	1963	"BA26633"	"EX"	"EX61"	30	10	NA	NA	8.21428571428571	94	147	2	68.4	0	38.4
"19631EX72A"	1963	"BA12247"	"EX"	"EX72A"	22	11	NA	NA	8.21428571428571	94	147	0	68.4	0	46.4
"19631O2"	1963	"BA01266"	"O"	"O2"	30	8	NA	NA	8.21428571428571	94	147	0	68.4	0	38.4
"19631O22"	1963	"BA26658"	"O"	"O22"	25	10	NA	NA	8.21428571428571	94	147	1	68.4	0	43.4
"19631O59"	1963	"BA26313"	"O"	"O59"	34	8	NA	NA	8.21428571428571	94	147	0	68.4	0	34.4
"19631O64"	1963	"BA12841"	"O"	"O64"	29	9	NA	0	8.21428571428571	94	147	1	68.4	0	39.4
"19631W1"	1963	"607098"	"W"	"W1"	26	10	NA	NA	8.21428571428571	94	147	0	68.4	0	42.4
"19631W4A"	1963	"BA26666"	"W"	"W4A"	33	10	NA	NA	8.21428571428571	94	147	1	68.4	0	35.4
"19641B3"	1964	"BA01653"	"B"	"B3"	32	6	NA	NA	7.51	103.9	167	0	58.4	0	26.4
"19641B49"	1964	"BA42682"	"B"	"B49"	37	7	NA	0	7.51	103.9	167	0	58.4	0	21.4
"19641C63"	1964	"BA42974"	"C"	"C63"	36	5	NA	NA	7.51	103.9	167	0	58.4	0	22.4
"19641EX29"	1964	"BA01797"	"EX"	"EX29"	26	10	NA	NA	7.51	103.9	167	0	58.4	0	32.4
"19641EX41B"	1964	"608108"	"EX"	"EX41B"	35	2	NA	1	7.51	103.9	167	0	58.4	0	23.4
"19641O80"	1964	"607703"	"O"	"O80"	31	9	NA	NA	7.51	103.9	167	2	58.4	0	27.4
"19641O83"	1964	"BA11071"	"O"	"O83"	31	11	NA	NA	7.51	103.9	167	0	58.4	0	27.4
"19651B177"	1965	"BA42673"	"B"	"B177"	26	9	NA	NA	7.90714285714286	113.2	152	2	58.4	0	32.4
"19651B80A"	1965	"BA64960"	"B"	"B80A"	34	8	NA	NA	7.90714285714286	113.2	152	2	58.4	0	24.4
